Seite (Noten),Seite,Buch,Künstler,Titel
82,82,4,Dante Thomas feat. Pras,Miss California
198,189,1,Danyel Gerard,Butterfly
4,4,W,Darlene Love,All Alone On Christmas
17,17,1,David Bowie,Space Oddity
156,156,5,David Bowie,Heroes
218,218,5,David Bowie,Let’s Dance
315,315,5,David Bowie,Starman
99,91,2,David Bowie ,The Man Who Sold The World
317,314,3,David Bowie & Pat Metheny,This is not America
405,401,3,David Dundas ,Jeans On
2,2,W,David Essex,A Winter's Tale
58,60,3,David Garrick,Mrs. Applebee
339,339,5,David Guetta,Titanium
66,69,3,David Hasselhoff,Looking For Freedom
246,242,1,David Lee Roth,Just A Gigolo
22,22,W,David Pomeranz,Christmas Is The Time Of The Year
200,200,W,David Pomeranz,Christmas Star
349,345,3,De Höhner,"Wenn nicht jetzt, wann dann?"
89,89,4,Dead or alive,You Spin Me Round
28,28,5,Dean Lewis,Be alright
15,15,4,Dean Martin,Sway
210,210,W,Dean Martin & Doris Day,"Baby, It’s Cold Outside "
380,380,5,Debbie Boone,You light up my life
352,331,1,Deep Blue Something,Breakfast At Tiffany
67,62,2,Deep Purple,Child In Time
92,93,3,Deep Purple,Smoke On The Water
37,34,1,Def Leppard,Two Steps Behind
275,275,5,Def Leppard,Pour some sugar on me
260,260,5,Del Amitri,Nothing ever happens
288,288,5,Del Shannon,Runaway (Shannon)
121,114,1,Depeche Mode,Enjoy The Silence
276,260,1,Depeche Mode,Leave In Silence
388,363,1,Depeche Mode,See You
412,384,1,Depeche Mode,Somebody
39,39,5,Depeche Mode,Blasphemous rumours
377,377,5,Desmond Dekker,You can get it if you really want
36,36,W,Detlev Jöcker,Dicke rote Kerzen
71,71,5,Dexy’s Midnight Runners,Come on Eileen
203,203,W,Diana Decker,I'm A Little Christmas Cracker
62,62,5,Diana Ross,Chain reaction
343,343,5,Diana Ross,Upside down
425,408,2,Dick Brave & the backbeats,Take Good Care Of My Baby
235,224,2,Dido,Life For Rent
252,239,2,Dido,Thank You
291,291,4,Dido,White Flag
340,340,4,Dido,No Freedom
155,155,5,Dido,Here with me
21,21,W,Dido,Christmas Day
336,336,4,Die ,Lasse redn
187,186,3,Die 4 Apostel,Zieh dich aus kleine Maus
105,105,5,Die aerzte,Du willst mich küssen
109,109,5,Die aerzte,El Cattivo
111,111,5,Die aerzte,Elke
294,294,5,Die aerzte,Schrei nach Liebe
360,360,5,Die aerzte,Westerland
389,389,5,Die aerzte,Zu spaet
260,260,4,Die Ärzte,Manchmal haben Frauen
261,261,4,Die Ärzte,Männer sind Schweine
337,337,4,Die Ärzte,Junge
408,402,4,Die Ärzte,M&F
86,86,4,Die Doofen,Mief
176,176,3,Die Fantastischen Vier,Die da !?!
392,392,5,Die Fantastischen Vier,Zusammen
59,59,4,Die Flippers,Lotosblume
228,226,3,Die Kolibris,Die Hände zum Himmel
12,12,1,Die Prinzen,Alles nur geklaut
241,239,3,Die Prinzen,Du musst ein Schwein sein
289,285,3,Die Prinzen,Million
360,356,3,Die Prinzen,Mein Fahrrad
62,64,3,Die Randfichten,Lebt denn dr alte Holzmichl noch
181,171,1,Die Schande,Ein einfaches Mädchen
373,357,2,Die Schröders,Lass uns schmutzig Liebe machen
151,144,1,Die Toten Hosen,Hier kommt Alex
54,56,3,Die Toten Hosen,Eisgekühlter Bommerlunder
232,232,4,Die Toten Hosen,Alles aus Liebe
233,233,4,Die Toten Hosen,Bayern
262,262,4,Die Toten Hosen,Zehn kleine Jägermeister
263,263,4,Die toten Hosen,Tage wie diese
264,264,4,Die Toten Hosen,Paradies
265,265,4,Die Toten Hosen,"Steh auf, wenn du am Boden bist"
330,330,4,Die Toten Hosen,Das Altbier Lied
331,331,4,Die Toten Hosen,Altes Fieber
36,36,5,Die Toten Hosen,Bis zum bitteren Ende
45,45,5,Die Toten Hosen,Bonnie & Clyde
293,293,5,Die Toten Hosen,Sascha ein aufrechter Deutscher
366,362,3,Dion ,The Wanderer
330,330,5,Dionne Warwick with Elton John,Thats what friends are for
253,238,1,Dire Straits,The Man's Too Strong
