Seite (Noten),Seite,Buch,Künstler,Titel
341,326,2,The Cure,Boys Don't Cry
15,17,3,The Cure,Friday I'm in Love
209,206,3,The Cure,The Lovecats
327,322,3,The Dandy Warhols,Bohemian Like You
25,25,W,The Darkness,Christmas Time (Don't Let The Bells End)
192,192,5,The Dixie Cups,Iko Iko
301,301,4,The Drifters,Under The Boardwalk
338,338,5,The Dubliners,The wild rover
41,43,3,The Edwin Hawkins Singers,Oh Happy Day
137,137,W,The Edwin Hawkins Singers,Oh Happy Day
349,349,5,The Everly Brothers,Wake up little Susie
60,60,5,The four seasons,Can't take my eyes off you
348,344,3,The goo goo dolls,Iris
181,180,3,The Hollies,"He Ain’t Heavy, He’s My Brother"
412,408,3,The Hollies,The Air That I Breathe
29,27,1,The Hooters,All You Zombies
243,231,1,The Hooters,Johnny B
377,354,1,The Hooters,Satellite
102,102,5,The Human League,Don't you want me
140,140,3,The Kelly Family,An Angel
249,247,3,The Kelly Family,Nanana
79,79,4,The Kelly Family,Fell In Love With An Alien
138,138,W,The Kelly Family,One More Happy Christmas
389,385,3,The Killers ,Read My Mind
288,288,4,The Killers ,Human
53,49,1,The Kinks,Death Of A Clown
82,74,1,The Kinks,Lola
367,363,3,The Kinks,Sunny Afternoon
381,381,5,The Kinks,You Really Got Me
299,295,3,The McCoys ,Hang On Sloopy
247,245,3,The Monkees,Daydream Believer
372,368,3,The Monkees,I'm A Beliver
318,298,1,The Moody blues,Nights In White Satin
98,89,2,The Pogues,Dirty Old Town
214,214,W,The Pogues,Fairytale Of New York
129,129,3,The Police,Every Breath You Take
216,216,4,The Police,Every Little Thing She Does Is Magic
245,245,5,The Police,Message In A Bottle
353,353,5,The Police,Walking On The Moon
103,103,4,The Police ,Roxanne
91,90,2,The Rasmus,In The Shadows
384,384,5,The Real Thing,You to me are everything
340,340,5,The Righteous Brothers,Unchained Melody
226,226,5,The rolling stones,Living in a ghost town
399,395,3,The Searchers,Sweets For My Sweet
202,202,4,The Shangri-Las ,Leader Of The Pack
28,28,4,The Shorts,Comment ça va
26,26,W,The smashing pumpkins,Christmastime
165,156,1,The Stranglers,Golden Brown
110,110,4,The supremes ,Stop In The Name Of Love
164,164,4,The sweet,Love Is Like Oxygen
113,113,3,The Temptations,Papa Was A Rollin' Stone
137,137,4,The Tokens,The Lion Sleeps Tonight
351,347,3,The Tremeloes ,Silence Is Golden
336,336,5,The Walker Brothers,The sun ain’t gonna shine anymore
119,109,2,The who ,Pinball Wizard
312,312,4,Thelma Houston / Communards,Don't Leave Me This Way
360,280,2,Them,It's All Over Now Baby Blue
379,356,1,Thin Lizzy,Whiskey In The Jar
210,208,3,Thomas D,Rückenwind
13,15,3,Thommie Bayer ,Der letzte Cowboy
121,121,3,Three doors down,Here Without You
279,277,3,Tic Tac Toe,Warum?
53,53,4,Tim Bendzko,Nur noch kurz die Welt retten
208,208,5,Tim Bendzko,Keine Maschine
342,342,5,Tim Bendzko & Cassandra Steen,Unter die Haut
85,87,3,Timbaland presents One Republic,Apologize
99,99,4,Timmy T ,One More Try
184,184,4,Tina Charles,I Love To Love
145,134,2,Tina Turner,We Don't Need Another Hero
403,386,2,Tina Turner,What's Love Got To Do With It
332,332,5,Tina Turner,The best
104,96,2,Tina Turner ,Private Dancer
95,95,4,Tina Turner ,Notbush City Limits
152,152,5,Tobee,Helikopter 117
249,249,4,Tobias Regner,I Still Burn
160,160,5,Tocotronic,Hi Freaks
410,404,4,Tokio Hotel,Durch den Monsun
279,267,2,Tom Jones,Sex Bomb
273,271,3,Tom Jones,Mama Told Me Not To Come
358,354,3,Tom Jones,She's A Lady
85,85,5,Tom Jones,Delilah
127,127,5,Tom Petty,Free Fallin'
195,195,5,Tom Petty,Into The Great Wide Open
215,215,5,Tom Walker,Leave a light on
408,382,1,Toni Braxton,Unbreak My Heart
299,299,4,Toni Braxton,Spanish Guitar
208,199,1,Toni Holiday,Tanze Samba mit mir
142,142,3,Tony Carey,A Room With A View
324,319,3,Tony Christie ,Amarillo
218,215,3,Torfrock,Beinhart
16,14,2,Toto,Africa
356,356,4,Toto ,Hold The Line
378,355,1,Toto Cotugno,L'Italiano
254,239,1,Toy dolls,Nellie The Elephant
154,145,1,Traditionell,What Shall We Do With A Drunken Sailor
161,152,1,Traditionell,Tom Dooley
162,153,1,Traditionell,My Bonnie Is Over The Ocean
164,155,1,Traditionell,Die Gedanken sind frei
391,366,1,Traditionell,Drunt in der gr
433,403,1,Traditionell,Oh Susanna
3,3,2,Traditionell,Greensleeves
114,106,2,Traditionell,Gaudeamus igitur
159,149,2,Traditionell,Das Kufsteiner Lied - Die Perle Tirols
208,197,2,Traditionell,Michael Row The Boat Ashore
224,211,2,Traditionell,Kumbaya
213,218,2,Traditionell,La Cucaracha
298,286,2,Traditionell,We Shall Overcome
313,301,2,Traditionell,Bella Ciao
368,351,2,Traditionell,Die Affen rasen durch den Wald
390,372,2,Traditionell,Go Down Moses
327,327,5,Traditionell,Swing Low Sweet Chariot
197,197,4,Train,Drive By
170,170,4,Trans-X,Living On Video
9,9,2,Travis,Sing
335,322,2,Travis,Why Does It Always Rain On Me?
86,78,1,Trini Lopez,If I Had A Hammer
346,342,3,Trio,Da da da
122,122,W,Trixx,Merry Christmas
93,85,1,Troggs,Wild Thing
42,42,5,Troglauer Buam,Bobfahrerlied
63,57,2,Truck Stop ,"Der wilde, wilde Westen"
410,391,2,Truck Stop ,Dave Dudley
246,233,2,Trude Herr,Niemals geht man so ganz
35,37,3,Two Of Us,Blue Night Shadow
265,249,1,U2,Van Diemen
331,311,1,U2,One
342,320,1,U2,Pride (In The Name Of Love)
71,65,2,U2,Angel Of Harlem
396,130,2,U2,Where the Streets have no name
204,193,2,U2,Sunday Bloody Sunday
210,199,2,U2,With Or Without You
263,250,2,U2,I Still Haven't Found What I Was Looking For
365,348,2,U2,New Year
248,246,3,U2,Beautiful Day
333,328,3,U2,All I Want Is You
188,187,3,U2 ,Staring At The Sun
132,132,3,UB 40 ,Kingston Town
372,356,2,UB 41,"Red, Red Wine"
199,190,1,Udo Jürgens,Aber bitte mit Sahne
203,194,1,Udo Jürgens,Griechischer Wein
405,378,1,Udo Jürgens,"Siebzehn Jahr, blondes Haar"
245,243,3,Udo Jürgens,Wozu sind Kriege da?
29,29,4,Udo Jürgens,Ein ehrenwertes Haus
112,112,4,Udo Jürgens,Mit 66 Jahren
113,113,4,Udo Jürgens,Ich war noch niemals in New York
139,139,4,Udo Jürgens,Vielen Dank für die Blumen
167,167,4,Udo Jürgens,Merci Cherie
87,87,5,Udo Jürgens,Der gekaufte Drachen
409,386,1,Udo Lindenberg,Cello
21,23,3,Udo Lindenberg,Ich lieb dich 
135,135,3,Udo Lindenberg,Wenn du durchhängst
390,386,3,Udo Lindenberg,Ein Herz kann man nicht reparieren
92,92,4,Udo Lindenberg,Sonderzug nach Pankow
241,241,5,Udo Lindenberg,Mein Ding
191,180,2,Udo Lindenberg ,Horizont
235,224,1,Ugly Kid Joe,Cat‘s In The Cradle
161,151,2,Ultravox ,Vienna
159,159,4,Ultravox ,Dancing With Tears In My Eyes
87,87,4,Uncle Kracker,Follow Me
169,169,4,Unheilig,Winter
286,286,4,Unheilig,Geboren um zu leben
350,350,4,Unheilig,So wie du warst
387,387,5,Unheilig,Zeit zu gehen
144,137,1,USA for Africa,We Are The World
47,49,3,Ute Freudenberg,Jugendliebe
270,268,3,Van Morrison,Brown Eyed Girl
4,4,5,Vanessa Carlton,A Thousand Miles
288,284,3,Vanessa Paradise,Joe Le Taxi
406,379,1,Vater Abraham,Das Lied der Schlümpfe
171,171,4,Vaya con Dios,Nah neh nah
133,123,2,Vengaboys,Uncle John From Jamaica
167,157,2,Vico Torriani ,Kalkutta liegt am Ganges
83,85,3,Vico Torriani (Bill Ramsey),Café Oriental
259,245,1,Village People,Y.M.C.A.
414,387,1,Village People,Go West
214,211,3,Village People,In The Navy
121,111,2,Vincent Clarke ,Only You
256,256,4,Visage,Fade To Grey
187,187,5,Volker Lechtenbrink,Ich mag
287,287,5,Voxxclub,Rock mi
163,154,1,W. Langhoff,Wir sind die Moorsoldaten
160,151,1,Walter Scheel,Hoch auf dem gelben Wagen
43,43,5,Wanda,Bologna
272,270,3,Watershed,Indigo Girl
318,306,2,Weather girls,It's Raining Men
392,374,2,Wencke Myrhe,Er hat ein knallrotes Gummiboot
72,72,W,Wendy & Carnie Wilson,Hey Santa
10,10,1,Westernhagen,Johnny Walker
237,226,1,Westernhagen,Dicke
184,173,2,Westernhagen,Mit Pfefferminz bin ich dein Prinz
72,72,4,Westernhagen,Ganz und gar
73,73,4,Westernhagen,Geiler is' schon
152,152,4,Westernhagen,Weil ich dich liebe
153,153,4,Westernhagen,Wieder hier
195,195,4,Westernhagen,Lass uns leben
236,236,4,Westernhagen,Sexy
324,324,4,Westernhagen,Willenlos
325,325,4,Westernhagen,Freiheit
114,114,5,Westernhagen,Es geht mir gut
147,140,1,Wet Wet Wet,Love Is All Around
292,288,3,Wham,Wake me Up Before You Go Go
107,107,W,Wham!,Last Christmas
381,363,2,Wheatus,Teenage Dirtbag
11,11,1,White Lion,When The Children Cry
60,54,2,Whitesnake,Here I Go Again
186,176,1,Whitney Houston,I Will Always Love You
83,77,2,Whitney Houston,My Love Is Your Love
24,26,3,Whitney Houston,One Moment In Time
92,92,5,Whitney Houston,Didn't we almost have it all
390,365,1,Wildecker Herzbuben,Herzilein
312,300,2,Willie Nelson,On The Road Again
16,16,5,Wincent Weiss,An Wunder
121,121,5,Wincent Weiss,Feuerwerk
205,205,5,Wincent Weiss,Kaum Erwarten
250,250,5,Wincent Weiss,Musik sein
134,134,3,Wir sind Helden,Aurélie
307,303,3,Wir sind Helden,Nur ein Wort
282,282,4,Wir sind Helden,Gekommen um zu bleiben
189,189,4,Wise guys,Jetzt ist Sommer
89,89,5,Wise guys,Deutsche Bahn
175,166,1,Wishful Thinking,Hiroshima
79,79,W,Wizzard,I Wish It Could Be Christmas Every Day
138,131,1,Wolfgang Ambros,Schifoan
220,209,1,Wolfgang Ambros,Es lebe der Zentralfriedhof
209,209,W,Wolfgang Ambros,Weihnachten wie immer
281,281,5,Wolfgang Fierek,"Resi, i hol di mit mei'm Traktor ab"
166,157,1,Wolfgang Petry,"Bronze, Silber und Gold"
183,173,1,Wolfgang Petry,Wahnsinn
205,196,1,Wolfgang Petry,"Verlieben, verloren, vergessen, verzeih"
123,113,2,Wolfgang Petry,Ganz oder gar nicht
285,273,3,Wolfgang Petry,Weiss' der Geier
88,88,5,Wolfgang Petry,Der Himmel brennt
126,126,3,Wolfgang Petry ,Du bist ein Wunder
216,213,3,Wolfsheim,Kein zurück
389,364,1,Wolle Kriwanek,Ufo
280,278,3,Wonderwall,Just More
113,105,1,Woody Guthrie,This Land Is Your Land
186,186,4,Xavier Naidoo,Abschied nehmen
244,244,4,Xavier Naidoo,Dieser Weg
188,188,4,Xavier Naidoo ,Sie sieht mich nicht
287,287,4,Xavier Naidoo (RZA feat.),Ich kenne nichts
253,253,5,Yael Naim,New Soul
58,58,4,Yvonne Catterfeld,Für Dich
220,220,5,Yvonne Catterfeld,Lieber So
271,271,5,Yvonne Catterfeld,Pendel
28,26,2,Zager & Evans,In the Year 2525
386,361,1,Zarah Leander,Kann denn Liebe Sünde sein
195,192,3,Zarah Leander,ich weiß es wird einmal ein wunder gescheh'n
171,171,5,Zayn feat. Taylor Swift,I don't wanna live forever
414,408,4,Zaz,Je veux
230,230,5,Zillertaler Schürzenjaeger,Logo Logo
295,295,5,Zillertaler Schürzenjaeger,Schürzenjaegerzeit
392,367,1,Zillertaler Schürzenjäger,Sierra madre del sur
157,157,4,Zillertaler Schürzenjäger,Der Jodelautomat
416,298,2,Zlatko ,Ich vermiss dich
278,276,3,Zoff,Sauerland
254,254,4,Zucchero feat. Paul Young ,Senza una donna (Without A Woman)
234,232,3,ZZ Top,Gimme All Your Lovin
